image_id,box0,box1,box2,box3,idx,action
104,1398.693686,731.4643186,64.33185228,167.0453557,1,0
104,1284.76197,751.4591829,79.2959404,148.548827,2,0
104,1483.634657,705.8902969,42.44353583,60.66235574,24,0
104,1506.833372,703.7064065,34.38439794,57.5582089,21,0
104,1512.837007,442.5225132,20.61662763,48.4067614,10,0
104,1249.124351,522.5897821,20.16179162,42.79257754,25,0
105,1400.871781,730.9281111,63.90035978,168.4199524,1,0
105,1288.191839,752.3678628,78.25257571,147.6796072,2,0
105,1484.172786,707.8886196,39.56379128,56.02862228,24,0
105,1506.863825,703.2377544,35.12876481,58.68229017,21,0
105,1246.449017,519.9204509,21.60023097,44.17423548,25,0
106,1404.306357,736.1016085,60.67355831,161.4825855,1,0
106,1290.62848,755.3729608,76.03815566,143.6275341,2,0
106,1508.680419,704.5490041,34.70622432,57.79861973,21,0
107,1405.08735,737.1805584,59.11229024,160.2134286,1,0
107,1292.738705,756.791085,74.7014362,141.4046863,2,0
107,1508.852512,704.7105778,35.32046998,59.46664389,21,0
107,1484.641272,709.7795456,39.44716434,55.91021255,24,0
107,1246.097497,520.5073303,21.70820806,43.86044902,25,0
108,1405.676563,745.307404,56.70494757,155.0220917,1,0
108,1297.459912,757.7509073,74.00919106,141.0287092,2,0
108,1508.797201,706.0442713,35.90632006,59.84834286,21,0
109,1407.427768,748.381406,55.21677877,152.5106368,1,0
109,1302.435629,756.6711747,72.86690443,141.3092058,2,0
109,1511.175912,705.6760112,35.26436257,58.15664117,21,0
110,1407.639225,748.4694975,55.32593378,153.8599069,1,0
110,1311.024578,757.1355001,72.47822425,142.5103726,2,0
110,1510.670877,706.0418707,36.28268456,59.4559025,21,0
111,1410.311316,748.6561592,54.66676026,152.5201915,1,0
111,1317.12454,756.7340161,71.57292505,144.1818732,2,0
111,1511.553951,705.733145,37.15782425,60.50272095,21,0
112,1414.246048,747.9670587,54.97321091,154.6340387,1,1
112,1322.245041,756.3443949,70.07708769,144.7843574,2,1
112,1511.60517,705.7048462,38.63946577,63.08789531,21,0
113,1421.421595,745.9942295,56.45586722,159.730581,1,1
